Well ID	Time ID	Median C2	Median C3					
104100604	8	24704	23924					
104100604	9	24604	23101					
104100706	1	34591	21629					
104100706	2	36176	21352					
104100706	3	38446	22113					
104100706	4	39630	22428					
104100706	5	40541	23167					
104100706	6	42191	22946					
104100706	7	41647	23466					
104100706	8	41383	23122					
104100706	9	41334	23680					
104100801	3	26138	15238					
104100803	1	35117	17505					
104100803	2	28592	18407					
104100803	3	27336	18646					
104100803	4	27066	19388					
104100803	5	27319	20144					
104100803	6	27445	20457					
104100803	7	27249	20221					
104100803	8	27555	20691					
104100803	9	28116	20819					
104100805	1	32876	19978					
104100805	2	31582	20879					
104100805	3	30581	21504					
104100805	4	31470	22261					
104100805	5	32124	23029					
104100805	6	32575	22499					
104100805	7	32557	23096					
104100805	8	33383	22256					
104100805	9	32005	22689					
104100901	1	36738	15872					
104100901	2	37266	15895					
104100901	3	37211	16507					
104100901	4	36680	17809					
104100901	5	37219	17891					
104100901	6	37501	18531					
104100901	7	39036	18628					
104100901	8	40199	18669					
104100901	9	41232	18909					
104100904	1	30071	21450					
104100904	2	29919	21810					
104100904	3	28740	22426					
104100904	4	30524	23340					
104100904	5	32072	23470					
104100904	6	31335	23419					
104100904	7	33137	24775					
104100904	8	32294	24221					
104100904	9	31832	23981					
104100906	1	38712	15837					
104100906	2	33661	16157					
104100906	3	33245	17090					
104100906	4	31962	17818					
104100906	5	32807	18137					
104100906	6	34390	18325					
104100906	7	34585	18749					
104100906	8	34827	18771					
104100906	9	35866	19136					
104100910	1	23234	15544					
104100910	2	22112	15941					
104100910	3	23383	16185					
104100910	4	25379	16966					
104100910	5	27943	17506					
104100910	6	29300	17468					
104100910	7	31018	18120					
104100910	8	30359	17826					
104100910	9	30637	17826					
104101001	1	21063	17695					
104101001	2	20410	18018					
104101001	3	20848	17144					
104101001	4	21747	17502					
104101001	5	22381	18263					
104101001	6	22286	18979					
104101001	7	22794	19085					
104101001	8	23113	18980					
104101001	9	25315	20471					
104101003	1	22571	14484					
104101003	3	23598	15593					
104101003	4	23724	16105					
104101003	5	25246	17172					
104101003	6	26529	17142					
104101003	7	25020	17086					
104101003	8	24939	17260					
